target,condition,trials,fast,correct,fast_rate,ci95,best_ms,p_vs_bare,greedy_baseline
ollama,cs_degree,20,18,18,0.9,"[0.699, 0.972]",0.272,0.031,fast
ollama,dropout,20,13,13,0.65,"[0.433, 0.819]",0.186,0.7475,fast
ollama,lawyer,20,7,8,0.35,"[0.181, 0.567]",0.198,0.3406,compile_error
ollama,model_persona,20,1,1,0.05,"[0.009, 0.236]",0.325,0.0012,compile_error
ollama,stakes,20,0,0,0.0,"[0.0, 0.161]",,0.0001,link_error
ollama,swiss,20,12,12,0.6,"[0.387, 0.781]",0.187,1.0,fast
ollama,think,20,2,2,0.1,"[0.028, 0.301]",0.305,0.0057,compile_error
ollama,timed,20,0,0,0.0,"[0.0, 0.161]",,0.0001,link_error
ollama,user_beginner,20,5,8,0.25,"[0.112, 0.469]",0.305,0.1053,slow
ollama,user_expert,20,12,12,0.6,"[0.387, 0.781]",0.189,1.0,compile_error
ollama,white,20,16,16,0.8,"[0.584, 0.919]",0.204,0.176,fast
ornith,african,20,19,19,0.95,"[0.764, 0.991]",0.252,1.0,fast
ornith,bare,20,19,19,0.95,"[0.764, 0.991]",0.272,,fast
ornith,bare,20,19,19,0.95,"[0.764, 0.991]",0.272,,fast
ornith,black,20,20,20,1.0,"[0.839, 1.0]",0.202,1.0,fast
ornith,cs_degree,20,19,19,0.95,"[0.764, 0.991]",0.25,1.0,fast
ornith,dropout,20,19,19,0.95,"[0.764, 0.991]",0.296,1.0,fast
ornith,lawyer,20,16,16,0.8,"[0.584, 0.919]",0.217,0.3416,compile_error
ornith,model_persona,20,20,20,1.0,"[0.839, 1.0]",0.286,1.0,fast
ornith,model_persona,20,20,20,1.0,"[0.839, 1.0]",0.286,1.0,fast
ornith,stakes,20,19,19,0.95,"[0.764, 0.991]",0.299,1.0,fast
ornith,stakes,20,19,19,0.95,"[0.764, 0.991]",0.299,1.0,fast
ornith,swiss,20,20,20,1.0,"[0.839, 1.0]",0.204,1.0,fast
ornith,think,20,20,20,1.0,"[0.839, 1.0]",0.24,1.0,fast
ornith,think,20,20,20,1.0,"[0.839, 1.0]",0.24,1.0,fast
ornith,timed,20,14,14,0.7,"[0.481, 0.855]",0.297,0.0915,fast
ornith,timed,20,14,14,0.7,"[0.481, 0.855]",0.297,0.0915,fast
ornith,user_beginner,20,15,20,0.75,"[0.531, 0.888]",0.209,0.1818,fast
ornith,user_beginner,20,15,20,0.75,"[0.531, 0.888]",0.209,0.1818,fast
ornith,user_expert,20,20,20,1.0,"[0.839, 1.0]",0.295,1.0,fast
ornith,user_expert,20,20,20,1.0,"[0.839, 1.0]",0.295,1.0,fast
ornith,white,20,20,20,1.0,"[0.839, 1.0]",0.232,1.0,fast
qwen27,african,20,0,20,0.0,"[0.0, 0.161]",116.499,1.0,slow
qwen27,bare,20,0,20,0.0,"[0.0, 0.161]",117.394,,slow
qwen27,bare,20,0,20,0.0,"[0.0, 0.161]",117.394,,slow
qwen27,black,20,0,20,0.0,"[0.0, 0.161]",116.617,1.0,slow
qwen27,cs_degree,20,0,20,0.0,"[0.0, 0.161]",116.381,1.0,slow
qwen27,dropout,20,0,20,0.0,"[0.0, 0.161]",116.489,1.0,slow
qwen27,lawyer,20,0,20,0.0,"[0.0, 0.161]",116.442,1.0,slow
qwen27,model_persona,20,0,20,0.0,"[0.0, 0.161]",145.24,1.0,slow
qwen27,model_persona,20,0,20,0.0,"[0.0, 0.161]",145.24,1.0,slow
qwen27,stakes,20,20,20,1.0,"[0.839, 1.0]",0.291,0.0,fast
qwen27,stakes,20,20,20,1.0,"[0.839, 1.0]",0.291,0.0,fast
qwen27,swiss,20,0,20,0.0,"[0.0, 0.161]",116.606,1.0,slow
qwen27,think,20,20,20,1.0,"[0.839, 1.0]",0.311,0.0,fast
qwen27,think,20,20,20,1.0,"[0.839, 1.0]",0.311,0.0,fast
qwen27,timed,20,20,20,1.0,"[0.839, 1.0]",0.267,0.0,fast
qwen27,timed,20,20,20,1.0,"[0.839, 1.0]",0.267,0.0,fast
qwen27,user_beginner,20,0,20,0.0,"[0.0, 0.161]",143.335,1.0,slow
qwen27,user_beginner,20,0,20,0.0,"[0.0, 0.161]",143.335,1.0,slow
qwen27,user_expert,20,20,20,1.0,"[0.839, 1.0]",0.303,0.0,fast
qwen27,user_expert,20,20,20,1.0,"[0.839, 1.0]",0.303,0.0,fast
qwen27,white,20,0,20,0.0,"[0.0, 0.161]",116.499,1.0,slow
qwen35,african,20,0,20,0.0,"[0.0, 0.161]",116.535,1.0,slow
qwen35,bare,20,0,20,0.0,"[0.0, 0.161]",116.891,,slow
qwen35,black,20,0,20,0.0,"[0.0, 0.161]",116.447,1.0,slow
qwen35,cs_degree,20,0,20,0.0,"[0.0, 0.161]",116.525,1.0,slow
qwen35,dropout,20,0,20,0.0,"[0.0, 0.161]",116.595,1.0,slow
qwen35,lawyer,20,0,19,0.0,"[0.0, 0.161]",116.59,1.0,slow
qwen35,model_persona,20,0,20,0.0,"[0.0, 0.161]",116.712,1.0,slow
qwen35,stakes,20,0,20,0.0,"[0.0, 0.161]",116.642,1.0,slow
qwen35,swiss,20,0,20,0.0,"[0.0, 0.161]",116.301,1.0,slow
qwen35,think,20,15,18,0.75,"[0.531, 0.888]",0.198,0.0,fast
qwen35,timed,20,17,18,0.85,"[0.64, 0.948]",0.224,0.0,fast
qwen35,user_beginner,20,0,20,0.0,"[0.0, 0.161]",116.655,1.0,slow
qwen35,user_expert,20,0,20,0.0,"[0.0, 0.161]",116.659,1.0,slow
qwen35,white,20,1,20,0.05,"[0.009, 0.236]",0.327,1.0,slow
qwen35-122b,african,20,20,20,1.0,"[0.839, 1.0]",0.276,0.0,fast
qwen35-122b,bare,20,0,20,0.0,"[0.0, 0.161]",126.583,,fast
qwen35-122b,black,20,20,20,1.0,"[0.839, 1.0]",0.266,0.0,fast
qwen35-122b,cs_degree,20,20,20,1.0,"[0.839, 1.0]",0.225,0.0,fast
qwen35-122b,dropout,20,20,20,1.0,"[0.839, 1.0]",0.308,0.0,fast
qwen35-122b,lawyer,20,20,20,1.0,"[0.839, 1.0]",0.293,0.0,fast
qwen35-122b,model_persona,20,20,20,1.0,"[0.839, 1.0]",0.209,0.0,fast
qwen35-122b,stakes,20,20,20,1.0,"[0.839, 1.0]",0.288,0.0,fast
qwen35-122b,swiss,20,0,0,0.0,"[0.0, 0.161]",,1.0,fast
qwen35-122b,think,20,20,20,1.0,"[0.839, 1.0]",0.297,0.0,fast
qwen35-122b,timed,20,20,20,1.0,"[0.839, 1.0]",0.303,0.0,fast
qwen35-122b,user_beginner,20,0,20,0.0,"[0.0, 0.161]",117.084,1.0,slow
qwen35-122b,user_expert,20,20,20,1.0,"[0.839, 1.0]",0.21,0.0,fast
qwen35-122b,white,20,0,20,0.0,"[0.0, 0.161]",142.026,1.0,fast
qwen35-27b,african,20,3,20,0.15,"[0.052, 0.36]",0.32,0.6948,slow
qwen35-27b,bare,20,5,20,0.25,"[0.112, 0.469]",0.308,,slow
qwen35-27b,black,20,1,20,0.05,"[0.009, 0.236]",0.229,0.1818,slow
qwen35-27b,cs_degree,20,3,20,0.15,"[0.052, 0.36]",0.305,0.6948,slow
qwen35-27b,dropout,20,2,19,0.1,"[0.028, 0.301]",0.308,0.4075,slow
qwen35-27b,lawyer,20,0,20,0.0,"[0.0, 0.161]",135.997,0.0471,slow
qwen35-27b,model_persona,20,12,19,0.6,"[0.387, 0.781]",0.302,0.0536,fast
qwen35-27b,stakes,20,5,19,0.25,"[0.112, 0.469]",0.301,1.0,slow
qwen35-27b,swiss,20,0,20,0.0,"[0.0, 0.161]",116.402,0.0471,slow
qwen35-27b,think,20,18,20,0.9,"[0.699, 0.972]",0.19,0.0001,fast
qwen35-27b,timed,20,17,17,0.85,"[0.64, 0.948]",0.26,0.0003,fast
qwen35-27b,user_beginner,20,0,20,0.0,"[0.0, 0.161]",138.422,0.0471,slow
qwen35-27b,user_expert,20,6,19,0.3,"[0.145, 0.519]",0.29,1.0,slow
qwen35-27b,white,20,3,20,0.15,"[0.052, 0.36]",0.287,0.6948,slow
qwen36-27b,african,20,6,20,0.3,"[0.145, 0.519]",0.26,0.0562,slow
qwen36-27b,bare,20,13,20,0.65,"[0.433, 0.819]",0.209,,slow
qwen36-27b,black,20,15,20,0.75,"[0.531, 0.888]",0.216,0.7311,slow
qwen36-27b,cs_degree,20,15,20,0.75,"[0.531, 0.888]",0.21,0.7311,fast
qwen36-27b,dropout,20,9,20,0.45,"[0.258, 0.658]",0.23,0.3406,slow
qwen36-27b,lawyer,20,13,20,0.65,"[0.433, 0.819]",0.303,1.0,slow
qwen36-27b,model_persona,20,18,20,0.9,"[0.699, 0.972]",0.283,0.1274,fast
qwen36-27b,stakes,20,11,20,0.55,"[0.342, 0.742]",0.311,0.7475,slow
qwen36-27b,swiss,20,13,20,0.65,"[0.433, 0.819]",0.192,1.0,fast
qwen36-27b,think,20,20,20,1.0,"[0.839, 1.0]",0.241,0.0083,fast
qwen36-27b,timed,20,20,20,1.0,"[0.839, 1.0]",0.254,0.0083,fast
qwen36-27b,user_beginner,20,1,20,0.05,"[0.009, 0.236]",0.318,0.0001,slow
qwen36-27b,user_expert,20,17,20,0.85,"[0.64, 0.948]",0.21,0.2733,fast
qwen36-27b,white,20,10,20,0.5,"[0.299, 0.701]",0.213,0.5231,fast
qwen36-35b,african,20,19,20,0.95,"[0.764, 0.991]",0.288,1.0,fast
qwen36-35b,bare,20,19,20,0.95,"[0.764, 0.991]",0.284,,fast
qwen36-35b,black,20,20,20,1.0,"[0.839, 1.0]",0.203,1.0,fast
qwen36-35b,cs_degree,20,18,20,0.9,"[0.699, 0.972]",0.191,1.0,fast
qwen36-35b,dropout,20,19,19,0.95,"[0.764, 0.991]",0.208,1.0,fast
qwen36-35b,lawyer,20,19,19,0.95,"[0.764, 0.991]",0.228,1.0,fast
qwen36-35b,model_persona,20,18,20,0.9,"[0.699, 0.972]",0.285,1.0,fast
qwen36-35b,stakes,20,20,20,1.0,"[0.839, 1.0]",0.22,1.0,fast
qwen36-35b,swiss,20,19,20,0.95,"[0.764, 0.991]",0.203,1.0,fast
qwen36-35b,think,20,20,20,1.0,"[0.839, 1.0]",0.226,1.0,fast
qwen36-35b,timed,20,19,19,0.95,"[0.764, 0.991]",0.195,1.0,fast
qwen36-35b,user_beginner,20,0,20,0.0,"[0.0, 0.161]",116.651,0.0,slow
qwen36-35b,user_expert,20,19,20,0.95,"[0.764, 0.991]",0.302,1.0,fast
qwen36-35b,white,20,19,20,0.95,"[0.764, 0.991]",0.214,1.0,fast
qwen38flash,african,20,13,20,0.65,"[0.433, 0.819]",0.206,0.0031,slow
qwen38flash,bare,20,3,20,0.15,"[0.052, 0.36]",0.313,,slow
qwen38flash,bare,20,3,20,0.15,"[0.052, 0.36]",0.313,,slow
qwen38flash,black,20,10,20,0.5,"[0.299, 0.701]",0.203,0.0407,slow
qwen38flash,cs_degree,20,6,20,0.3,"[0.145, 0.519]",0.324,0.4506,slow
qwen38flash,dropout,20,7,20,0.35,"[0.181, 0.567]",0.229,0.2733,slow
qwen38flash,lawyer,20,10,20,0.5,"[0.299, 0.701]",0.205,0.0407,slow
qwen38flash,model_persona,20,9,20,0.45,"[0.258, 0.658]",0.311,0.0824,slow
qwen38flash,model_persona,20,9,20,0.45,"[0.258, 0.658]",0.311,0.0824,slow
qwen38flash,stakes,20,14,20,0.7,"[0.481, 0.855]",0.28,0.0011,slow
qwen38flash,stakes,20,14,20,0.7,"[0.481, 0.855]",0.28,0.0011,slow
qwen38flash,swiss,20,15,20,0.75,"[0.531, 0.888]",0.211,0.0003,fast
qwen38flash,think,20,20,20,1.0,"[0.839, 1.0]",0.218,0.0,fast
qwen38flash,think,20,20,20,1.0,"[0.839, 1.0]",0.218,0.0,fast
qwen38flash,timed,20,20,20,1.0,"[0.839, 1.0]",0.228,0.0,fast
qwen38flash,timed,20,20,20,1.0,"[0.839, 1.0]",0.228,0.0,fast
qwen38flash,user_beginner,20,6,20,0.3,"[0.145, 0.519]",0.351,0.4506,slow
qwen38flash,user_beginner,20,6,20,0.3,"[0.145, 0.519]",0.351,0.4506,slow
qwen38flash,user_expert,20,8,20,0.4,"[0.219, 0.613]",0.323,0.1552,slow
qwen38flash,user_expert,20,8,20,0.4,"[0.219, 0.613]",0.323,0.1552,slow
qwen38flash,white,20,9,20,0.45,"[0.258, 0.658]",0.204,0.0824,slow
seed-oss,african,20,15,15,0.75,"[0.531, 0.888]",0.217,1.0,fast
seed-oss,bare,20,16,16,0.8,"[0.584, 0.919]",0.279,,fast
seed-oss,black,20,17,18,0.85,"[0.64, 0.948]",0.206,1.0,fast
seed-oss,cs_degree,20,13,13,0.65,"[0.433, 0.819]",0.304,0.4801,fast
seed-oss,dropout,20,15,18,0.75,"[0.531, 0.888]",0.219,1.0,slow
seed-oss,lawyer,20,16,16,0.8,"[0.584, 0.919]",0.208,1.0,fast
seed-oss,model_persona,20,13,13,0.65,"[0.433, 0.819]",0.302,0.4801,wrong
seed-oss,stakes,20,16,16,0.8,"[0.584, 0.919]",0.308,1.0,fast
seed-oss,swiss,20,11,11,0.55,"[0.342, 0.742]",0.212,0.176,wrong
seed-oss,think,20,20,20,1.0,"[0.839, 1.0]",0.245,0.106,fast
seed-oss,timed,20,14,14,0.7,"[0.481, 0.855]",0.298,0.7164,fast
seed-oss,user_beginner,20,18,19,0.9,"[0.699, 0.972]",0.278,0.6614,slow
seed-oss,user_expert,20,14,14,0.7,"[0.481, 0.855]",0.29,0.7164,wrong
seed-oss,white,20,17,17,0.85,"[0.64, 0.948]",0.275,1.0,fast
